1,2,6/26/2008
2,4,6/27/2008
3,5,6/28/2008
4,6,6/29/2008
5,1,6/30/2008
6,5,7/1/2008
7,5,7/2/2008
8,3,10/30/2008
9,6,5/26/2008
10,3,6/1/2008
11,5,9/12/2008
12,2,11/19/2008
13,5,7/2/2008
14,3,10/30/2008
15,2,5/26/2008
16,5,6/1/2008
17,6,5/26/2008
18,3,6/1/2008
19,5,9/12/2008
20,6,11/19/2008
21,5,7/2/2008
22,5,10/30/2008
23,4,5/26/2008
24,2,6/1/2008
25,2,9/12/2008
26,2,11/19/2008
27,4,7/2/2008
28,5,10/30/2008
29,3,5/26/2008
30,5,6/1/2008
31,4,5/26/2008
32,1,6/1/2008
33,3,5/26/2008
34,2,6/1/2008
35,1,9/12/2008
36,2,11/19/2008
37,4,7/2/2008
38,5,10/30/2008
39,1,7/2/2008
40,1,10/30/2008
41,5,5/26/2008
42,3,6/1/2008
43,4,6/26/2008
44,4,6/27/2008
45,1,6/28/2008
46,5,6/29/2008
47,4,6/30/2008
48,1,7/1/2008
49,3,7/2/2008
50,4,10/30/2008
51,4,5/26/2008
52,2,6/1/2008
53,5,9/12/2008
54,6,11/19/2008
55,5,7/2/2008
56,4,10/30/2008
57,678,5/26/2008
58,37865,6/1/2008
59,36170,5/26/2008
60,18772,6/1/2008
61,19130,9/12/2008
62,3827,11/19/2008
63,26687,7/2/2008
64,18274,10/30/2008
65,28722,5/26/2008
66,28012,6/1/2008
67,35223,9/12/2008
68,15121,11/19/2008
69,37383,7/2/2008
70,29339,10/30/2008
71,20926,5/26/2008
72,16224,6/1/2008
73,38341,5/26/2008
74,21534,6/1/2008
75,14779,5/26/2008
76,7413,6/1/2008
77,34030,9/12/2008
78,34873,11/19/2008
79,8703,7/2/2008
80,11441,10/30/2008
81,29158,7/2/2008
82,13454,10/30/2008
83,36218,5/26/2008
84,26586,6/1/2008
85,8583,6/26/2008
86,17759,6/27/2008
87,16319,6/28/2008
88,3980,6/29/2008
89,2129,6/30/2008
90,32968,7/1/2008
91,5409,7/2/2008
92,24585,10/30/2008
93,29630,5/26/2008
94,18862,6/1/2008
95,34324,9/12/2008
96,12252,11/19/2008
97,25876,7/2/2008
98,5875,10/30/2008
99,32732,5/26/2008
100,26290,6/1/2008
101,32573,5/26/2008
102,8040,6/1/2008
103,4040,9/12/2008
104,4657,11/19/2008
105,6076,7/2/2008
106,3216,10/30/2008
107,23713,5/26/2008
108,11818,6/1/2008
109,17912,9/12/2008
110,19781,11/19/2008
111,24524,7/2/2008
112,20096,10/30/2008
113,11154,5/26/2008
114,12495,6/1/2008
115,4775,5/26/2008
116,23719,6/1/2008
117,10561,5/26/2008
118,22045,6/1/2008
119,32917,9/12/2008
120,6395,11/19/2008
121,31714,7/2/2008
122,27167,10/30/2008
123,38493,7/2/2008
124,16770,10/30/2008
125,13919,5/26/2008
126,2708,6/1/2008
127,15500,6/26/2008
128,26445,6/27/2008
129,15612,6/28/2008
