2142,193,2
33868,175,2
92507,167,1
10930,212,3
84111,21,1
49503,124,2
7071,438,1
98204,61,3
10013,206,3
84118,94,2
80030,296,2
77388,110,2
39157,135,3
10013,247,1
18701,444,2
85256,309,1
1230,442,2
79901,266,1
37212,200,1
90017,145,2
21202,308,2
91723,203,2
37929,328,3
40244,276,1
29210,411,3
95814,400,2
74030,107,1
92503,73,3
75248,126,1
72211,340,3
78626,116,3
78701,80,2
98119,186,1
72401,148,1
21113,26,2
65648,322,2
8901,301,3
60005,416,2
48219,154,3
17064,345,3
50447,428,3
55437,130,1
30901,230,3
97205,207,1
60191,316,3
89101,56,2
12305,259,2
48075,373,1
1609,275,1
48548,159,1
98632,366,1
19135,321,3
55401,125,2
47374,33,2
5403,313,1
28681,346,2
44115,434,3
28273,174,1
1103,413,2
62220,212,2
70585,89,3
98108,98,1
37216,47,2
59486,224,1
32064,307,2
55792,85,1
55404,62,1
40244,238,1
56536,21,2
20877,65,2
12203,257,2
13031,30,3
93901,380,1
7662,98,3
60605,247,3
30251,227,2
76011,169,3
24124,252,3
1103,96,2
48219,64,3
53095,28,1
97225,207,1
94550,212,2
47586,358,2
92801,241,3
12958,349,1
20200,275,2
48607,314,1
44115,141,3
10011,209,1
6511,431,1
63141,89,1
74464,75,2
11743,312,3
28601,442,2
37909,236,3
84401,11,2
28752,399,1
10013,325,1
37207,56,2
92705,19,1
83861,306,1
55418,311,2
84111,218,3
97204,215,3
48226,330,3
44115,219,2
60605,97,3
46254,94,1
23451,290,3
2142,71,3
94403,198,1
80203,216,2
93301,407,2
27834,106,2
48150,219,2
45701,362,1
20005,26,2
90017,434,3
11101,41,3
92614,38,3
95223,108,2
2154,157,3
33178,202,1
85034,246,2
92103,225,1
78202,273,3
90014,63,2
33868,269,3
12144,132,2
27406,391,3
32696,87,2
95129,61,2
55401,296,1
52338,357,3
80202,93,2
94612,328,3
33566,248,2
84104,156,1
60601,290,3
74652,126,1
49445,50,1
28401,55,2
44503,210,1
90017,153,3
25661,78,3
91405,127,3
8070,16,1
39213,419,2
15501,22,1
22101,223,2
